cadence_type,emotional_archetype,resolution_feeling,closure_satisfaction,emotional_finality,listener_response,dramatic_impact,cultural_familiarity,psychological_completeness,physical_tension_release,narrative_power,memorability,surprise_level,cathartic_effect,harmonic_flexibility,genre_fit,expressive_freedom,anticipation_building,universal_recognition,stylistic_period,common_contexts
authentic_perfect,the_hero_triumphant,completely_resolved,very_satisfying,totally_final,highly_pleased,strong_impact,universally_expected,feels_complete,full_physical_release,definitive_ending,highly_memorable,not_surprising,powerful_catharsis,limited_flexibility,fits_most_genres,moderate_freedom,builds_strong_expectation,universally_recognized,all_periods,hymns_classical_endings_pop_choruses
deceptive,the_plot_twist,barely_resolved,unsatisfying,feels_unfinished,confused_intrigued,very_dramatic,unexpected,feels_incomplete,tension_remains,narrative_misdirection,extremely_memorable,very_surprising,moderate_catharsis,very_flexible,good_genre_fit,high_freedom,builds_then_subverts,widely_recognized,baroque_onward,classical_development_jazz_reharmonization
half_cadence,the_question_posed,half_resolved,moderately_satisfying,somewhat_final,moderately_pleased,moderate_impact,culturally_familiar,feels_open,some_release,pauses_narrative,moderately_memorable,mildly_surprising,moderate_catharsis,very_flexible,fits_many_genres,high_freedom,builds_mild_expectation,widely_recognized,all_periods,phrase_endings_transitions_dominant_preparation
plagal,the_gentle_blessing,mostly_resolved,satisfying,quite_final,very_pleased,moderate_impact,culturally_familiar,feels_settled,good_release,gentle_conclusion,moderately_memorable,not_very_surprising,good_catharsis,moderately_flexible,good_genre_fit,moderate_freedom,builds_moderate_expectation,widely_recognized,sacred_tradition,hymns_gospel_folk_endings
neapolitan_sixth,the_exotic_stranger,strongly_resolved,somewhat_satisfying,quite_final,pleased_but_surprised,very_dramatic,culturally_unfamiliar,feels_complete,strong_release,dramatic_conclusion,very_memorable,quite_surprising,powerful_catharsis,moderately_flexible,limited_genre_fit,high_freedom,builds_strong_expectation,rarely_recognized,romantic_period,opera_art_song_dramatic_moments
imperfect_authentic,the_gentle_arrival,mostly_resolved,moderately_satisfying,moderately_final,pleased,mild_impact,culturally_familiar,moderately_complete,some_release,soft_conclusion,moderately_memorable,mildly_surprising,moderate_catharsis,flexible,fits_many_genres,moderate_freedom,builds_mild_expectation,widely_recognized,all_periods,phrase_endings_lighter_conclusions
phrygian_half,the_mournful_sigh,somewhat_resolved,unsatisfying,not_very_final,melancholy_response,dramatic_impact,moderately_familiar,feels_unfinished,little_release,sad_pause,memorable,moderately_surprising,limited_catharsis,very_flexible,limited_genre_fit,high_freedom,builds_strong_expectation,somewhat_recognized,renaissance_baroque,early_music_modal_contexts
augmented_sixth,the_dramatic_climax,very_resolved,very_satisfying,very_final,thrilled,extremely_dramatic,somewhat_unfamiliar,feels_complete,powerful_release,climactic_ending,extremely_memorable,very_surprising,intense_catharsis,flexible,limited_genre_fit,high_freedom,builds_intense_expectation,somewhat_recognized,classical_romantic,opera_concertos_dramatic_peaks
jazz_ii_V_I,the_sophisticated_resolution,strongly_resolved,satisfying,quite_final,very_pleased,moderate_impact,familiar_to_jazz_fans,feels_complete,good_release,smooth_conclusion,memorable,moderately_surprising,good_catharsis,extremely_flexible,excellent_jazz_fit,very_high_freedom,builds_moderate_expectation,recognized_by_jazz_listeners,jazz_era,jazz_standards_bebop_latin
tritone_substitution,the_cool_surprise,mostly_resolved,satisfying,quite_final,impressed,dramatic_impact,unfamiliar_to_most,feels_complete,good_release,sophisticated_conclusion,memorable,quite_surprising,good_catharsis,extremely_flexible,excellent_jazz_fit,very_high_freedom,builds_moderate_expectation,rarely_recognized,jazz_era,jazz_reharmonization_sophisticated_pop
