technique_name,harmonic_structure,sonic_characteristic,compositional_function,voice_leading_approach,resolution_behavior,key_composers_examples,stylistic_period,practical_applications,theoretical_basis,emotional_effect,difficulty_level,common_contexts,chord_symbols,interval_analysis,frequency_analysis,beat_frequency_implications,harmonic_series_position
Quartal Harmony,stacked_perfect_fourths,open_spacious_sound,creates_modern_ambiguity,parallel_fourth_motion,weak_resolution_tendency,Hindemith_Copland_Debussy,20th_century_neoclassical,film_scoring_jazz_harmony,interval_purity_over_triadic_function,contemplative_modern,intermediate,impressionist_pieces_jazz_voicings,"Csus4add11, Dm11(no3), quartal voicings","Perfect 4ths: P4, P4, P4 stacked intervals","Perfect 4th ratio 4:3 (498 cents) creates hollow, open sound through harmonic series gaps",Minimal beating due to perfect ratio alignment; creates spacious acoustic texture,4th harmonic relationship provides structural stability
Quintal Harmony,stacked_perfect_fifths,hollow_powerful_sound,harmonic_foundation_without_thirds,parallel_fifth_motion,strong_stability_no_resolution_needed,Bartok_medieval_organum,medieval_modern_revival,minimalist_film_power_chord_extensions,acoustically_pure_intervals,primal_powerful,beginner_advanced,drone_music_minimalism_power_rock,"C(no3), power chords, perfect 5th stacks","Perfect 5ths: P5, P5, P5 stacked intervals",Perfect 5th ratio 3:2 (702 cents) - most consonant compound interval after octave,"Near-zero beating creates pure, ringing sustain; powerful acoustic foundation",2nd and 3rd harmonic relationship creates natural acoustic reinforcement
Tone Clusters,adjacent_semitones,dense_dissonant_texture,creates_harmonic_saturation_tension,chromatic_voice_leading,requires_dispersal_to_consonance,Cowell_Ives_Ligeti,20th_century_avant_garde,horror_film_modernist_concert_music,chromatic_saturation_theory,anxiety_chaos_intensity,advanced,contemporary_classical_experimental,"C-C#-D-D#-E cluster, chromatic clusters","Minor 2nds: m2, m2, m2 chromatic saturation",Minor 2nd ratio 16:15 (111 cents) creates maximum acoustic density,High beat frequency (1-10 Hz) creates tremolo effect and acoustic roughness,Adjacent harmonic series positions create maximum interference patterns
Polychords,simultaneous_independent_triads,biharmonic_polyharmonic,layers_different_tonal_centers,independent_voice_leading_per_chord,each_chord_resolves_independently,Stravinsky_Milhaud_Ives,early_20th_century_modernist,jazz_reharmonization_neoclassical_ballet,superimposition_of_tonal_centers,complex_sophisticated_layered,advanced,ballets_symphonies_jazz_arrangements,"C/F#, Dm/G7, bitonal chord symbols",Independent triads: simultaneous tonal centers,,,
Added Tone Chords,triad_plus_non_chord_tones,coloristic_enrichment,adds_harmonic_color_without_function_change,smooth_voice_leading_maintains_triad,chord_tone_addition_no_resolution,Debussy_Ravel_Bill_Evans,impressionist_jazz,popular_music_jazz_impressionist_classical,harmonic_coloration_theory,dreamy_sophisticated_lush,intermediate,jazz_standards_pop_ballads_impressionist,,,,,
Pandiatonicism,free_use_of_diatonic_scale_tones,white_key_freedom,eliminates_functional_hierarchy,any_diatonic_note_over_any_bass,no_traditional_resolution_patterns,Copland_Vaughan_Williams_Stravinsky_neo_classical,american_pastoral_neoclassical,film_americana_pastoral_classical,diatonic_freedom_from_function,open_american_pastoral,intermediate,film_scores_americana_pastoral_music,,,,,
Polytonality,simultaneous_different_keys,clashing_bitonal_effect,creates_harmonic_friction_complexity,independent_key_voice_leading,keys_maintain_separate_identities,Milhaud_Ives_Stravinsky_Petrushka,early_20th_century,modern_classical_contemporary_film,multiple_tonal_center_theory,unsettling_modern_complex,very_advanced,modernist_ballet_art_music_film,,,,,
Chromatic Mediants,third_relationships_outside_key,surprising_harmonic_shifts,creates_unexpected_harmonic_color,chromatic_voice_leading_smooth_bass,deceptive_resolution_to_mediant,Wagner_Brahms_film_composers,late_romantic_film,film_scoring_late_romantic_pop,chromatic_third_cycle_theory,magical_cinematic_surprising,intermediate,film_music_romantic_symphonies,,,,,
Modal Interchange,borrowing_chords_from_parallel_modes,modal_color_in_major_minor,adds_modal_flavor_to_tonal_music,smooth_voice_leading_maintains_key_center,borrowed_chords_return_to_home_key,Beatles_Brahms_film_composers,romantic_popular_contemporary,pop_music_film_classical,parallel_mode_theory,nostalgic_colorful_emotional,intermediate,pop_songs_film_scores_romantic_classical,,,,,
Synthetic Scales,artificially_constructed_scales,unique_interval_patterns,creates_distinctive_harmonic_language,scale_specific_voice_leading,return_to_tonic_or_cycle_completion,Messiaen_Debussy_Bartok,20th_century_impressionist,film_world_music_contemporary_classical,mathematical_interval_construction,exotic_otherworldly_mysterious,advanced,film_ethnic_contemporary_classical,,,,,
