nct_id,nct_type,preparation_method,resolution_pattern,metric_placement,melodic_function,harmonic_impact,typical_duration,dissonance_level,stylistic_period,common_voices,emotional_effect,pedagogical_difficulty,compositional_frequency,beat_strength,voice_leading_category,voice_range_preference,harmonic_rhythm_pattern,metric_accent_preference,chord_context_compatibility,historical_style_examples,voice_register_considerations,melodic_contour_effect,beat_placement_preference,rhythmic_context
1,passing_tone,stepwise_approach,stepwise_same_direction,weak_beat,melodic_connection,mild_dissonance,eighth_to_quarter,2,all_periods,any_voice,smooth_flow,beginner,very_high,weak,stepwise,any_register,subdivision_beats,weak_beats_preferred,all_chord_types,"Bach_chorales,Mozart_sonatas,Chopin_nocturnes",works_all_octaves,maintains_linear_direction,weak_beat,smooth_connection
2,neighboring_tone,stepwise_approach,return_to_origin,weak_beat,melodic_embellishment,mild_dissonance,eighth_to_quarter,2,all_periods,any_voice,decorative_charm,beginner,very_high,weak,stepwise,upper_voices_preferred,ornamental_subdivision,weak_beats_only,stable_chords_preferred,"Baroque_ornamentation,Classical_melodies,Folk_tunes",most_effective_soprano_alto,creates_melodic_curve,weak_beat,gentle_ornament
3,upper_neighbor,stepwise_up,stepwise_down_return,weak_beat,melodic_ornament,mild_dissonance,eighth_to_quarter,2,all_periods,any_voice,bright_decoration,beginner,high,weak,stepwise,any_register,subdivision_beats,weak_beats_preferred,various_contexts,classical_examples,effective_middle_register,varies_by_context,weak_beat,flexible
4,lower_neighbor,stepwise_down,stepwise_up_return,weak_beat,melodic_ornament,mild_dissonance,eighth_to_quarter,2,all_periods,any_voice,grounded_decoration,beginner,high,weak,stepwise,any_register,subdivision_beats,weak_beats_preferred,various_contexts,classical_examples,effective_middle_register,varies_by_context,weak_beat,flexible
5,suspension,tied_preparation,stepwise_down,strong_beat,rhythmic_harmonic_tension,strong_dissonance,half_to_whole,4,baroque_classical,upper_voices,yearning_tension,intermediate,high,strong,other,upper_voices_primary,strong_beat_emphasis,strong_beats_required,dominant_predominant_chords,"Bach_BWV_147,Handel_Messiah,Mozart_Requiem",most_powerful_soprano_register,creates_descending_tension_release,strong_beat,metric_preparation
6,retardation,tied_preparation,stepwise_up,strong_beat,upward_harmonic_tension,strong_dissonance,half_to_whole,4,baroque_classical,bass_voice,lifting_tension,intermediate,medium,strong,other,bass_voice_typical,strong_beat_resolution,strong_beats_required,tonic_dominant_chords,"Bach_Chorales,Handel_concertos,Classical_cadences",most_effective_bass_register,creates_ascending_lift,syncopated,rhythmic_delay
7,appoggiatura,leap_approach,stepwise_down,strong_beat,expressive_dissonance,very_strong_dissonance,quarter_to_half,5,classical_romantic,melodic_lines,emotional_pain,intermediate,medium,strong,leap,melodic_lines_primary,expressive_emphasis,strong_beats_required,all_harmonic_contexts,"Mozart_Piano_Sonata_K331,Bach_St_Matthew,Puccini_arias",most_expressive_vocal_range,creates_emotional_peak_then_release,strong_beat,expressive_emphasis
8,anticipation,stepwise_or_leap,same_note_resolution,weak_beat,harmonic_preview,variable_mild,eighth_or_less,1,all_periods,any_voice,eager_forward_motion,beginner,medium,weak,stepwise,any_voice_part,forward_motion_beats,weak_beats_into_strong,chord_progression_contexts,"Baroque_sequences,Classical_transitions,Jazz_standards",effective_all_registers,creates_forward_momentum,off_beat,forward_motion
9,escape_tone,stepwise_approach,leap_opposite_direction,weak_beat,melodic_surprise,mild_to_moderate,eighth_note,2,baroque_onward,upper_voices,playful_escape,intermediate,low,weak,stepwise,upper_voices_preferred,playful_subdivision,weak_beats_preferred,stable_harmonic_contexts,"Bach_inventions,Scarlatti_sonatas,Mozart_rondos",most_effective_treble_clef,creates_surprising_direction_change,weak_beat,melodic_direction
10,cambiata,stepwise_down,leap_down_step_up,weak_beat,melodic_figure,mild_dissonance,quarter_note_pattern,2,renaissance_baroque,soprano_alto,graceful_gesture,advanced,low,weak,stepwise,soprano_alto_voices,ornamental_figure_pattern,weak_beat_patterns,Renaissance_modal_contexts,"Palestrina_masses,Victoria_motets,Byrd_anthems",optimal_vocal_range_soprano,creates_graceful_descending_curve,weak_beat,compound_motion
