modulation_id,modulation_technique,intervallic_relationship,harmonic_mechanism,transition_smoothness,surprise_factor,emotional_effect,stylistic_period,difficulty_level,common_pivot_chords,voice_leading_pattern,typical_duration,dramatic_function,genre_suitability,pedagogical_value,harmonic_strategy_category
pivot_chord_diatonic_perfect_fifth_up,pivot_chord_diatonic,perfect_fifth_up,shared_chord_reinterpretation,0.9,0.2,stable_progression,all_periods,beginner,I=V_vi=ii_IV=I,smooth_voice_leading,2_to_4_measures,natural_progression,"classical,folk,popular",very_high,functional
pivot_chord_diatonic_perfect_fifth_down,pivot_chord_diatonic,perfect_fifth_down,shared_chord_reinterpretation,0.9,0.2,grounding_effect,all_periods,beginner,I=IV_V=I_vi=iii,smooth_voice_leading,2_to_4_measures,stabilizing_return,"classical,folk,popular",very_high,functional
pivot_chord_chromatic_mediant_major_third_up,pivot_chord_chromatic_mediant,major_third_up,borrowed_chord_pivot,0.6,0.8,bright_surprise,romantic_modern,intermediate,vi=I_iii=V_I=VI,chromatic_voice_leading,3_to_6_measures,dramatic_shift,"romantic,film_score,pop",high,functional
pivot_chord_chromatic_mediant_major_third_down,pivot_chord_chromatic_mediant,major_third_down,borrowed_chord_pivot,0.6,0.8,dark_surprise,romantic_modern,intermediate,I=vi_IV=ii_vi=I,chromatic_voice_leading,3_to_6_measures,mysterious_turn,"romantic,film_score,jazz",high,functional
common_tone_modulation_tritone_relation,common_tone_modulation,tritone_relation,single_note_pivot,0.4,0.9,jarring_distant,classical_romantic,advanced,none_specified,static_then_leap,1_to_3_measures,sudden_transport,"classical,jazz,contemporary",medium,extended
chromatic_voice_leading_semitone_relations,chromatic_voice_leading,semitone_relations,gradual_chromatic_motion,0.8,0.5,sliding_sensual,romantic_modern,intermediate,augmented_sixth_chords,stepwise_chromatic,4_to_8_measures,seductive_transition,"romantic,jazz,film_score",high,extended
enharmonic_modulation_distant_keys_enharmonic,enharmonic_modulation,distant_keys_enharmonic,respelling_pivot,0.3,0.95,magical_transformation,romantic_modern,advanced,augmented_sixth_diminished_seventh,enharmonic_respelling,2_to_4_measures,plot_twist_moment,"romantic,opera,contemporary",medium,extended
sequential_modulation_ascending_or_descending,sequential_modulation,ascending_or_descending,motivic_repetition_transposition,0.7,0.6,building_excitement,baroque_classical,intermediate,varies_by_sequence,parallel_motion_sequences,4_to_12_measures,developmental_process,"classical,progressive_rock,jazz",high,extended
direct_modulation_any_interval,direct_modulation,any_interval,abrupt_key_change,0.1,0.95,shocking_contrast,modern_popular,beginner,none_pivot_unnecessary,immediate_shift,immediate,dramatic_punctuation,"popular,rock,musical_theatre",low,extended
phrase_modulation_closely_related_keys,phrase_modulation,closely_related_keys,cadential_separation,0.8,0.4,natural_flow,classical_romantic,beginner,cadence_then_new_key,phrase_boundary_shift,phrase_length,sectional_contrast,"classical,hymns,folk",high,functional
deceptive_modulation_unexpected_resolution,deceptive_modulation,unexpected_resolution,false_cadence_redirect,0.5,0.8,surprise_misdirection,classical_romantic,intermediate,deceptive_cadence_V_vi,deceptive_resolution,2_to_3_measures,narrative_twist,"classical,jazz,musical_theatre",high,extended
modal_interchange_modulation_parallel_mode,modal_interchange_modulation,parallel_mode,borrowed_chord_gateway,0.7,0.6,color_change,romantic_modern,intermediate,borrowed_chords,modal_mixture,3_to_6_measures,mood_shift,"romantic,pop,jazz",high,modal
