function_name,function_type,scale_degrees_involved,typical_chords,resolution_target,voice_leading_rules,harmonic_rhythm_placement,functional_substitutions,figured_bass_symbols,stylistic_period,common_progressions,chord_quality_options,inversion_functions,sequential_usage
tonic,primary_stable,1_3_5,I_vi_iii,none_stable,common_tones_smooth_voice_leading,strong_weak_beats,vi_for_I_iii_for_I,5/3_6_6/3,all_periods,I-vi-ii-V_I-iii-vi,major_minor_diminished,root_first_second,tonic_expansion_sequences
predominant,primary_preparation,2_4_6,ii_IV_vi,dominant_V_or_V7,smooth_preparation_to_dominant,typically_weak_beats,ii6_for_IV_vi_for_ii,6_6/5_4/3,all_periods,ii-V_IV-V_vi-V,major_minor_diminished,all_inversions_functional,predominant_sequences
subdominant,primary_preparation,4_6_1,IV_ii6_vi,dominant_or_tonic,stepwise_voice_leading,strong_or_weak_beats,ii6_for_IV_vi6_for_IV,5/3_6_4/3,all_periods,IV-V_IV-I_IV-vi,major_minor,root_first_inversion,plagal_progressions
dominant,primary_active,5_7_2,V_V7_viio,tonic_resolution,leading_tone_up_seventh_down,strong_beats_typically,viio6_for_V_V65_V43_V42,7_6/5_4/3_4/2,all_periods,V-I_V7-I_viio6-I,major_minor_diminished,all_inversions,dominant_sequences
secondary_dominant_V_of_V,secondary_chromatic,5_of_temporary_key,V/V_V7/V,V_as_temporary_tonic,chromatic_approach_notes,strong_beats,viio/V_for_V/V,7_6/5_4/3_4/2_with_accidentals,baroque_onwards,V/V-V-I_V7/V-V7-I,major_minor_diminished,all_inversions,sequence_chains
secondary_dominant_V_of_vi,secondary_chromatic,5_of_vi,V/vi_V7/vi,vi_as_temporary_tonic,chromatic_leading_tones,strong_or_weak_beats,viio/vi_for_V/vi,7_6/5_4/3_4/2_with_sharp,baroque_onwards,V/vi-vi-IV-V,major_minor_diminished,all_inversions,deceptive_chains
secondary_dominant_V_of_ii,secondary_chromatic,5_of_ii,V/ii_V7/ii,ii_as_temporary_tonic,chromatic_voice_leading,typically_weak_beats,viio/ii_for_V/ii,7_6/5_4/3_4/2_with_sharp,baroque_onwards,V/ii-ii-V-I,major_minor_diminished,all_inversions,predominant_tonicization
secondary_dominant_V_of_iii,secondary_chromatic,5_of_iii,V/iii_V7/iii,iii_as_temporary_tonic,chromatic_approach_smooth,weak_beats_typically,viio/iii_for_V/iii,7_6/5_4/3_4/2_with_sharp,baroque_onwards,V/iii-iii-vi,major_minor_diminished,first_inversion_common,mediant_emphasis
secondary_dominant_V_of_IV,secondary_chromatic,5_of_IV,V/IV_V7/IV,IV_as_temporary_tonic,chromatic_subdominant_approach,strong_or_weak_beats,viio/IV_for_V/IV,7_6/5_4/3_4/2_with_sharp,baroque_onwards,V/IV-IV-V-I,major_minor_diminished,all_inversions,subdominant_tonicization
neapolitan_sixth,chromatic_predominant,flat2_4_6,N6_flat_ii6,V_or_V7,half_step_bass_motion,weak_beat_preparation,iv_for_N6_flat_VI_for_N6,6_with_flat,classical_romantic,N6-V-I_N6-V7-I,major_only,first_inversion_only,dramatic_approach
italian_augmented_sixth,chromatic_predominant,flat6_sharp4_1,It+6,V_with_doubled_fifth,smooth_voice_leading_augmented_resolution,weak_beat_typically,Ger+6_Fr+6_alternatives,+6_with_flats_sharps,classical_romantic,It+6-V-I,augmented_interval_required,first_inversion_only,dominant_preparation
french_augmented_sixth,chromatic_predominant,flat6_1_2_sharp4,Fr+6,V7_or_cadential64,four_voice_texture_complete,weak_beat_preparation,It+6_Ger+6_alternatives,+6/5_with_accidentals,classical_romantic,Fr+6-V7-I,augmented_sixth_tritone,second_inversion_like,sophisticated_voice_leading
german_augmented_sixth,chromatic_predominant,flat6_1_flat3_sharp4,Ger+6,I64_then_V_or_direct_V,parallel_fifth_avoidance_required,weak_beat_approach,It+6_Fr+6_alternatives,+6/5_with_double_flat,classical_romantic,Ger+6-I64-V-I,augmented_sixth_perfect_fifth,second_inversion_like,most_common_augmented_sixth
applied_diminished_viio_of_V,secondary_diminished,7_of_temporary_key,viio/V_viio7/V_viiø7/V,V_as_temporary_tonic,diminished_chord_voice_leading,weak_beats_passing,V/V_alternatives,o7_ø7_with_accidentals,baroque_onwards,viio/V-V-I,diminished_half_diminished,root_first_inversion,linear_chromatic_approach
applied_diminished_viio_of_vi,secondary_diminished,7_of_vi,viio/vi_viio7/vi,vi_as_temporary_tonic,smooth_diminished_resolution,weak_beats_typically,V/vi_alternatives,o7_ø7_with_sharp,baroque_onwards,viio/vi-vi-ii-V,diminished_half_diminished,first_inversion_common,minor_key_tonicization
mode_mixture_flat_VI,borrowed_chord,flat6,flat_VI,ii_or_IV_or_V,smooth_modal_voice_leading,strong_or_weak_beats,iv_flat_III_alternatives,flat6_major_chord,classical_romantic,I-flat_VI-iv-V,major_triad_from_parallel_minor,root_position_typical,modal_color_harmony
mode_mixture_iv,borrowed_chord,4_flat6_1,iv,V_or_I,modal_mixture_smooth_voice_leading,weak_beats_often,ii_flat_VI_alternatives,minor_chord_natural_key,classical_romantic,I-iv-V-I,minor_chord_in_major,root_first_inversion,plagal_modal_effect
mode_mixture_flat_VII,borrowed_chord,flat7,flat_VII,I_or_flat_VI,stepwise_bass_motion,strong_beats_often,V/flat_III_alternatives,flat7_major_chord,romantic_popular,flat_VII-I_flat_VI-flat_VII-I,major_triad_flat_seventh,root_position_common,rock_modal_progressions
cadential_six_four,embellishing_dominant,1_3_5_over_5,I64,V_or_V7,bass_stationary_upper_voices_resolve,strong_beat_accent,none_functional_specific,6/4_over_bass_5,baroque_onwards,I64-V-I,major_minor,second_inversion_only,cadential_formula
passing_six_four,voice_leading_chord,varies,varies,stepwise_bass_continuation,smooth_bass_line_motion,weak_beats_only,none_linear_function,6/4_between_chords,baroque_onwards,I-V64-vi_IV-I64-V,major_minor,second_inversion_only,linear_bass_motion
neighbor_six_four,voice_leading_chord,varies,varies,return_to_original_chord,static_bass_with_upper_voice_motion,weak_beats_typically,none_linear_function,6/4_neighbor_motion,classical_onwards,I-IV64-I_V-I64-V,major_minor,second_inversion_only,neighbor_motion_embellishment
extended_dominant_V9,extended_tertian,5_7_2_4,V9,I_with_ninth_resolution,ninth_resolves_stepwise_down,strong_beats_typically,V7_with_added_color,9_over_dominant_bass,romantic_jazz,V9-I_V9-vi,dominant_with_ninth,root_inversions_possible,extended_harmonic_color
extended_dominant_V11,extended_tertian,5_7_2_4_6,V11,I_with_eleventh_preparation,eleventh_as_suspension_or_color,strong_beats_resolution,V9_alternatives,11_over_dominant_bass,romantic_jazz,V11-I_suspension_resolution,dominant_with_eleventh,root_position_typical,suspension_like_treatment
extended_dominant_V13,extended_tertian,5_7_2_4_6_1,V13,I_with_thirteenth_color,thirteenth_as_added_sixth,strong_beat_approach,V11_V9_alternatives,13_over_dominant_bass,jazz_contemporary,V13-I_jazz_progressions,dominant_with_thirteenth,root_inversions_jazz,jazz_harmonic_color
