nct_type,emotional_effect,voice_range_preference,harmonic_rhythm_pattern,historical_style_examples,chord_context_compatibility,pedagogical_difficulty,preparation_interval,resolution_interval,expression_intensity
passing_tone,smooth_flow,any_register,subdivision_beats,"Bach_chorales,Mozart_sonatas,Chopin_nocturnes",all_chord_types,beginner,major second,major second,gentle_expression
neighboring_tone,decorative_charm,upper_voices_preferred,ornamental_subdivision,"Baroque_ornamentation,Classical_melodies,Folk_tunes",stable_chords_preferred,beginner,major second,major second,gentle_expression
upper_neighbor,bright_decoration,any_register,subdivision_beats,classical_examples,various_contexts,beginner,major second,major second,gentle_expression
lower_neighbor,grounded_decoration,any_register,subdivision_beats,classical_examples,various_contexts,beginner,major second,major second,gentle_expression
suspension,yearning_tension,upper_voices_primary,strong_beat_emphasis,"Bach_BWV_147,Handel_Messiah,Mozart_Requiem",dominant_predominant_chords,intermediate,,major second,intense_expression
retardation,lifting_tension,bass_voice_typical,strong_beat_resolution,"Bach_Chorales,Handel_concertos,Classical_cadences",tonic_dominant_chords,intermediate,,major second,intense_expression
appoggiatura,emotional_pain,melodic_lines_primary,expressive_emphasis,"Mozart_Piano_Sonata_K331,Bach_St_Matthew,Puccini_arias",all_harmonic_contexts,intermediate,major third,major second,intense_expression
anticipation,eager_forward_motion,any_voice_part,forward_motion_beats,"Baroque_sequences,Classical_transitions,Jazz_standards",chord_progression_contexts,beginner,major second,,gentle_expression
escape_tone,playful_escape,upper_voices_preferred,playful_subdivision,"Bach_inventions,Scarlatti_sonatas,Mozart_rondos",stable_harmonic_contexts,intermediate,major second,major third,gentle_expression
cambiata,graceful_gesture,soprano_alto_voices,ornamental_figure_pattern,"Palestrina_masses,Victoria_motets,Byrd_anthems",Renaissance_modal_contexts,advanced,major second,major third,gentle_expression
nota_cambiata,elegant_ornament,any_register,subdivision_beats,classical_examples,various_contexts,advanced,major second,major second,gentle_expression
changing_tones,decorative_pair,any_register,subdivision_beats,classical_examples,various_contexts,intermediate,major second,major second,gentle_expression
double_neighbor,elaborate_decoration,any_register,subdivision_beats,classical_examples,various_contexts,intermediate,major second,major second,gentle_expression
pedal_point,stability_tension,any_register,subdivision_beats,classical_examples,various_contexts,intermediate,major second,major second,moderate_expression
inverted_pedal,floating_tension,any_register,subdivision_beats,classical_examples,various_contexts,advanced,major second,major second,moderate_expression
internal_pedal,subtle_stability,any_register,subdivision_beats,classical_examples,various_contexts,advanced,major second,major second,moderate_expression
accented_passing_tone,bold_movement,any_register,subdivision_beats,classical_examples,various_contexts,intermediate,major second,major second,moderate_expression
chromatic_passing_tone,smooth_chromatic_flow,any_register,subdivision_beats,classical_examples,various_contexts,intermediate,major second,major second,gentle_expression
diatonic_passing_tone,natural_flow,any_register,subdivision_beats,classical_examples,various_contexts,beginner,major second,major second,gentle_expression
incomplete_neighbor,surprise_return,any_register,subdivision_beats,classical_examples,various_contexts,intermediate,major second,major second,gentle_expression
appoggiatura_group,intense_emotion,any_register,subdivision_beats,classical_examples,various_contexts,advanced,major second,major second,intense_expression
suspension_chain,cascading_tension,any_register,subdivision_beats,classical_examples,various_contexts,advanced,major second,major second,intense_expression
retardation_chain,lifting_sequence,any_register,subdivision_beats,classical_examples,various_contexts,advanced,major second,major second,intense_expression
free_tone,expressive_freedom,any_register,subdivision_beats,classical_examples,various_contexts,advanced,major second,major second,moderate_expression
auxiliary_tone,gentle_ornament,any_register,subdivision_beats,classical_examples,various_contexts,beginner,major second,major second,gentle_expression
grace_note,decorative_sparkle,any_register,subdivision_beats,classical_examples,various_contexts,beginner,major second,major second,gentle_expression
mordent,brilliant_ornament,any_register,subdivision_beats,classical_examples,various_contexts,intermediate,major second,major second,gentle_expression
turn,elaborate_flourish,any_register,subdivision_beats,classical_examples,various_contexts,intermediate,major second,major second,gentle_expression
