pattern_name,change_frequency,typical_duration,metric_relationship,emotional_effect,energy_level,tension_pattern,genre_suitability,stylistic_period,compositional_function,voice_leading_impact,complexity_level,tempo_dependency,cultural_associations,pedagogical_notes
whole_note_rhythm,every_4_beats,very_slow,reinforces_meter,peaceful_static,very_low,minimal_tension,ballads_hymns_ambient,romantic_modern,harmonic_foundation,melody_primary_focus,simple,low,sacred_contemplative,Listener engagement: meditative_calm
half_note_rhythm,every_2_beats,slow,strong_metric_support,stable_gentle,low,gradual_buildup,folk_classical_ballads,all_periods,steady_progression,balanced_melody_harmony,simple,low,traditional_formal,Listener engagement: comfortable_predictable
quarter_note_rhythm,every_beat,moderate,metric_alignment,forward_motion,medium,moderate_tension,pop_rock_classical,all_periods,standard_progression,harmony_supports_melody,intermediate,medium,mainstream_accessible,Listener engagement: engaged_following
eighth_note_rhythm,twice_per_beat,fast,syncopated_metric,driving_urgent,high,constant_tension,rock_jazz_latin,modern_popular,rhythmic_drive,harmony_competes_melody,advanced,high,energetic_youthful,Listener engagement: exciting_propulsive
mixed_rhythm_regular,alternating_predictable,variable_patterned,cross_metric_patterns,interesting_varied,medium,wave_like_tension,classical_progressive_rock,classical_modern,sophisticated_architecture,complex_interplay,advanced,medium,sophisticated_artistic,Listener engagement: intellectually_engaging
accelerating_rhythm,increasing_frequency,builds_to_climax,disrupts_metric_stability,building_excitement,high,mounting_tension,film_score_classical,romantic_modern,dramatic_buildup,melody_becomes_secondary,advanced,variable,cinematic_theatrical,Listener engagement: anticipatory_excitement
decelerating_rhythm,decreasing_frequency,slows_to_resolution,returns_metric_stability,calming_settling,low,releasing_tension,classical_coda_jazz_outro,romantic_modern,resolution_function,melody_regains_prominence,intermediate,variable,closure_resolution,Listener engagement: satisfying_release
syncopated_rhythm,off_beat_emphasis,irregular_placement,challenges_metric_expectation,playful_surprising,high,rhythmic_tension,jazz_latin_funk,modern_jazz,groove_creation,rhythm_primary_melody_secondary,advanced,high,african_american_latin,Listener engagement: dancing_engagement
static_pedal,no_harmonic_change,extended_duration,metric_independence,hypnotic_suspended,medium,sustained_tension,minimalist_drone_folk,modern_ancient,textural_foundation,melody_floats_above,intermediate,low,meditative_spiritual,Listener engagement: meditative_trance
hemiola_rhythm,3_against_2_pattern,cross_rhythmic,cross_metric_interplay,sophisticated_complex,medium,metric_tension,classical_baroque_latin,baroque_classical,metric_sophistication,melody_harmony_equal_complexity,very_advanced,medium,european_classical,Listener engagement: intellectually_stimulating
chain_suspensions,syncopated_resolutions,delayed_resolution,creates_metric_ambiguity,emotional_yearning,medium,prolonged_tension,baroque_romantic_gospel,baroque_romantic,expressive_intensity,harmony_drives_melody,advanced,low,expressive_emotional,Listener engagement: emotionally_gripping
